,Unnamed: 0,name,location,idea,acceptance_rate
0,0,Mahatma Education Society's Pillai Centre of Innovation and Entrepreneurship,"dr. k. m. vasudevan pillai campus plot no. 10, sector 16, new panvel – 410 206 maharashtra, india","AI, Green Technology, Internet of Things, Robotics",100%
1,3,KALCHURI LNCT GROUP INCUBATION CENTER,"kalchuri lnnct group incubation center, lnct campus, kalchuri nagar, (p.o. kolua) raisen road, bhopal-462022 (m.p).","Analytics, Advertising, Architecture Interior Design",58%
2,4,EdVenture Incubation Foundation,"nmdc colony, venkatadri colony, masab tank, hyderabad, telangana 500264","Automotive, Computer Vision, Telecommunication & Networking, Construction, AI",14%
3,5,Sharda Launchpad Foundation,"sharda university, plot no 32-34, knowledge park 3, greater noida, up-201310","Architecture Interior Design, AR VR (Augmented + Virtual Reality)",66%
4,6,VCorp,"ghaziabad-bulandshahr g.t. road, nh-91, greater noida phase-ii, gautam budh nagar, uttar pradesh-203207","Automotive, Agriculture, Education, Robotics",90%
5,7,MIET Incubation Forum,"miet incubation forum, meerut institute of engineering and technology, nh-58, baghpat road, bypass crossing meerut (250005) up (india)","Agriculture, AI, Education, Healthcare & Lifesciences, Internet of Things",100%
6,9,Mahatma Education Society's Pillai Centre of Innovation and Entrepreneurship,"dr. k. m. vasudevan pillai campus plot no. 10, sector 16, new panvel – 410 206 maharashtra, india","AI, Green Technology, Internet of Things, Robotics",100%
7,12,KALCHURI LNCT GROUP INCUBATION CENTER,"kalchuri lnnct group incubation center, lnct campus, kalchuri nagar, (p.o. kolua) raisen road, bhopal-462022 (m.p).","Analytics, Advertising, Architecture Interior Design",58%
8,13,EdVenture Incubation Foundation,"nmdc colony, venkatadri colony, masab tank, hyderabad, telangana 500264","Automotive, Computer Vision, Telecommunication & Networking, Construction, AI",14%
9,14,Sharda Launchpad Foundation,"sharda university, plot no 32-34, knowledge park 3, greater noida, up-201310","Architecture Interior Design, AR VR (Augmented + Virtual Reality)",66%
10,15,VCorp,"ghaziabad-bulandshahr g.t. road, nh-91, greater noida phase-ii, gautam budh nagar, uttar pradesh-203207","Automotive, Agriculture, Education, Robotics",90%
11,16,MIET Incubation Forum,"miet incubation forum, meerut institute of engineering and technology, nh-58, baghpat road, bypass crossing meerut (250005) up (india)","Agriculture, AI, Education, Healthcare & Lifesciences, Internet of Things",100%
12,18,Atal Incubation Centre - Pondicherry Engineering College Foundation,"atal incubation centre - pec foundation, puducherry technological university, pillaichavady, pondicherry - 605 014","Design, Education, Renewable Energy, Technology Hardware, Internet of Things",81%
13,19,SCIFI IIM Lucknow,"scifi iim lucknow, iim road, prabandh nagar, lucknow 226013","Agriculture, Finance Technology",16%
14,21,FabCi IIT Hyderabad,"iit hyderabad permanent campus, nh9, kandi, sangareddy, telangana, india - 502285","Telecommunication & Networking, Internet of Things, Social Impact",28%
15,22,INURTURE INCUBATION FOUNDATION,"abes engg. college, 19th km stone, nh-09","Analytics, AR VR (Augmented + Virtual Reality), Agriculture, AI",42%
16,24,NEC Business Incubator,"k r innovation centre, tech park, national engineering college, kovilpatti","Telecommunication & Networking, Agriculture, AI, Green Technology, Education",6%
