lol,info,name,linkofproduct,area
0,"Chemicals, Green Technology, Food & Beverages, Healthcare & Lifesciences",Vikas Vithhal Gite,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.6065c456e4b03f92cbd28973.html,"Director of KBCNMU Center for Innovation, Incubation and Linkages, An Incubation Center of Kaviyitri Bahinabai Chaudhari North Maharashtra University, Jalgaon (Section 8 Company CIN: U85300MH2019NPL330765), Supported by Department of Skill Development and Entrepreneurship, Govt. of Maharashtra under Maharashtra State Innovation Society Incubator Scheme."
1,"Advertising, Marketing, Media & Entertainment",Sujit Nair,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.6055ed9be4b03f92cbcb6df3.html,"Sujit is an SME & start-up specialist who has helped more than 30 SME’s and around 10 start-ups in their digital transformation initiatives from a systems & marketing viewpoint. An engineer by qualification, Sujit has been adept in understanding business processes because of which he has been a key member in devising core system implementation for B2B and B2C organizations.

His experience of around 17 years has been a mix of working in B2B / B2C SMEs ranging from an annual turnover of INR 10 crores (USD 1.5 Million) to INR 1500 crores (USD 200 Million). Sujit also co-founded and led a 360-degree online marketing agency helping clients leverage the digital marketing mediums to scale up their business"
2,"Analytics, Education, Healthcare & Lifesciences, IT Services, Sports",Varun Sharma,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.6049e51de4b03f92cbc5517c.html,"Having experience of 14 years with a demonstrated history of working in the Education Management industry and having 1-year experience in mentoring Startups. I am also a  TEDx Speaker, Skilled in Analytical Skills, IT Service Management, Design, Microsoft Outlook, and Data Management. Strong community and social services professional graduated from Chaudhary Charan Singh University. Having spent over 1 year in the health and fitness industry as a professional and an entrepreneur, I enjoy helping young entrepreneurs to build their ideas into businesses. I have Mentored AMBHOS in the field of health and fitness (Ideation, validation, and early-stage ) and this startup is really doing great. I love to help young minds to grow."
3,"Telecommunication & Networking, Education, Technology Hardware, IT Services",Keshab Ray,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.603de6e8e4b03f92cbc112f9.html,"I am a graduate Electrical Engineer from Bengal Engg. College- Calcutta
University(Now IIEST– an Institute of National Importance) with PG in IT from IIT-Delhi and MBA (Systems & Marketing) from FMS-Delhi University. I have submitted my PhD thesis in Birla Institute of Technology-Mesra. I have published 3 research articles in non-paid Scopus/ESCI/ABDC indexed reputed journals. My research topic is : A Study of Challenges and Strategies for Indian IT Companies towards the development of Global Brand.I am working with Royal Bank of Scotland as IT-Programme Manager(VP)
in Core Systems having 25 years of experience in ICT companies like IBM, CSC, Cognizant and Samsung. I have worked in USA, UK, South Korea, Singapore and India managing complex E2E IT projects involving teams located in different continents delivering IT solutions and IT strategy for RBS, Bank of Scotland, Metlife-US, John Hancock-US,DBS-Singapore, HBOS-UK & Bank of Ireland.I have been doing coaching and mentoring for last 25 years in Industry and now after completing my PhD, I would like to impart my knowledge with the young entrepreneurs"
4,Technology Hardware,NXP FABCI Core team,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.603c7a3be4b03f92cbc0b7ce.html,"A team of experts from NXP & FABCI, IIT Hyd who are running a Semiconductor accelerator program. "
5,"Telecommunication & Networking, Education, Renewable Energy",Kshitij Shinghal,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.6037367ce4b087332c697989.html,"Dr. Kshitij Shinghal obtained his Doctorate (Ph.D) in 2013. He has published more than 100 Papers in various National, International Journals and Conferences he has published several 10+ papers on entrepreneurship, Innovation and design thinking. He has authored and co-authored more than 10 books on Electronics & Communication Engineering. He has also authored books on Emotional Intelligence, Memory improvement techniques, Time management, Stress Management in workplace and Logical & creative thinking puzzles. He is an elected fellow member FIAET and FISRD. He has received Best Research Paper Award from the International Journal of Advances in Engineering, and Technology [IJAET] in 2015. He has received Certificate of Appreciation for the valuable services rendered in the field of education in 2016 from the Society of Global Education Index. He received Best Reviewer Award from International Journal of Recent Trends in Electrical and Electronics Engineering in 2016. He is also the recipient of IAET Engineering Education Excellence Award-2017. For the last twenty years, he has been actively involved in writing, teaching and research in the diverse areas of engineering, technology and self-help. He has been involved in guiding and motivating his students, to time management abilities, goal setting and follow Success principles that helps them to launch a successful business venture. He is a dynamic teacher, trainer, speaker and motivator."
6,AI,SAURAV SINGLA,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.60363d1ee4b087332c69505b.html,"Accomplished and high-performing Analytical professional with 15 years of deep expertise in the application of analytics, business intelligence, data mining, and statistics in multiple industries and 3 years of consulting experience and 5 years of managing a team in the data science field. Creative problem solver with a unique mix of technical, business, and research proficiency that lends itself to developing key strategies and solutions with significant impact on revenue and ROI. Working experience in machine learning, statistics, natural language processing and deep learning with extensive use of Python, R, SQL & Tableau."
7,"Telecommunication & Networking, Construction, Food & Beverages, Education",Kanisshka Tyagi,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.60353af5e4b0b471e767ee73.html,"Kanisshka Tyagi is a lawyer, who graduated from Campus Law Center, Delhi University, and joined a Delhi based corporate and commercial law firm, where she got extensive exposure in real estate sector and other general corporate and commercial work. She subsequently worked with leading corporate and commercial law firms in New Delhi (NCR Region) and got the opportunity to expand her practice base to include insolvency; private equity and regularly advised on cross border investment transactions amongst other practice areas.• Kanisshka joined Kaden Boriss, a global law firm, as Partner in 2011. She has executed and advised both foreign and domestic companies on transactions related to private equity investments, insolvency and bankruptcy, real estate, acquisitions, corporate restructuring arrangements, commercial contracts and secretarial matters. Besides Kanisshka has been a regular contributor to law magazines and journals and regular speaker at conferences and seminars and has addressed a wide variety of audiences at various platforms on corporate-legal issues. • Kanisshka with a view to encourage and mentor the young startups in India co-founded along with lawyer and company secretary and her colleague at Legum Amicuss, The WorkPlace, co-working offices and facilitated and mentored several startups and their respective founders for a period of 2 years, at the end of which the stake in The WorkPlace was diluted in favour of finance head of a leading co-working office brand.• Kainsshka is currently heading Business Strategies Department of Legum Amicuss, a young dynamic law firm based at New Delhi. Her personal interest lies at structuring of new businesses/startups and structuring them with holistic approach."
8,"Aeronautics Aerospace & Defence, Finance Technology, Enterprise Software",David Shastry,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.603079e2e4b017a8daed2b90.html,"Intelligent, confident and forward thinking, David champions digital design and product strategy at scale. Specializing in crafting data driven, user centered and highly strategic product experiences David drives critical and turnkey value for the corporate, defense, finance and government sectors. His pragmatic and strategic approach to design and product is backed by an entrepreneurial & business oriented mindset and this makes him unique as a creative. 

With clients like NATO, Walgreens, American Medical Association, Kellogs, Coca Cola and other industry leaders, David has brought his expertise and careful strategic guidance to clients at the highest levels of the legal, finance, manufacturing, healthcare, insurance, government, defense and other critical sectors. His expertise and counsel has empowered corporations of varying scale gain and retain key competitive advantage in their respective industries."
9,"Chemicals, Green Technology, Food & Beverages, Healthcare & Lifesciences",Vikas Vithhal Gite,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.6065c456e4b03f92cbd28973.html,"Director of KBCNMU Center for Innovation, Incubation and Linkages, An Incubation Center of Kaviyitri Bahinabai Chaudhari North Maharashtra University, Jalgaon (Section 8 Company CIN: U85300MH2019NPL330765), Supported by Department of Skill Development and Entrepreneurship, Govt. of Maharashtra under Maharashtra State Innovation Society Incubator Scheme."
